,NomeCidade,NumEmpCid,NumEmpDesc,NumCol_5,NumCol_9,NumCol_19,NumCol_49,NumCol_99,NumCol_199,NumCol_499,NumCol_+500
0,L'Abergement-Clémenciat,25,22,1,2,0,0,0,0,0,0
1,L'Abergement-de-Varey,10,9,1,0,0,0,0,0,0,0
2,Ambérieu-en-Bugey,996,577,272,63,46,24,9,3,2,0
3,Ambérieux-en-Dombes,99,73,20,3,1,2,0,0,0,0
4,Ambléon,4,4,0,0,0,0,0,0,0,0
5,Ambronay,124,87,20,10,5,2,0,0,0,0
6,Ambutrix,48,28,15,2,3,0,0,0,0,0
7,Andert-et-Condon,22,17,4,1,0,0,0,0,0,0
8,Anglefort,33,23,8,1,0,0,0,1,0,0
9,Apremont,14,11,2,1,0,0,0,0,0,0
10,Aranc,12,8,3,0,1,0,0,0,0,0
11,Arandas,9,9,0,0,0,0,0,0,0,0
12,Arbent,314,130,97,33,28,16,5,5,0,0
13,Arbignieu,24,17,6,1,0,0,0,0,0,0
14,Arbigny,9,8,0,1,0,0,0,0,0,0
15,Argis,13,10,1,1,0,1,0,0,0,0
16,Armix,1,1,0,0,0,0,0,0,0,0
17,Ars-sur-Formans,67,42,20,5,0,0,0,0,0,0
18,Artemare,101,67,28,3,3,0,0,0,0,0
19,Asnières-sur-Saône,2,2,0,0,0,0,0,0,0,0
20,Attignat,116,79,28,4,0,1,1,3,0,0
21,Bâgé-la-Ville,101,79,12,7,3,0,0,0,0,0
22,Bâgé-le-Châtel,49,36,11,1,0,1,0,0,0,0
23,Balan,109,66,27,6,6,0,2,2,0,0
24,Baneins,31,27,4,0,0,0,0,0,0,0
25,Beaupont,25,19,5,1,0,0,0,0,0,0
26,Beauregard,45,34,9,1,0,1,0,0,0,0
27,Bellignat,252,112,80,24,18,11,4,3,0,0
28,Béligneux,177,92,53,9,11,12,0,0,0,0
29,Bellegarde-sur-Valserine,655,373,203,36,21,16,4,2,0,0
30,Belley,708,421,191,40,25,18,8,3,2,0
31,Belleydoux,15,11,4,0,0,0,0,0,0,0
32,Belmont-Luthézieu,20,16,4,0,0,0,0,0,0,0
33,Bénonces,9,7,2,0,0,0,0,0,0,0
34,Bény,31,25,4,1,1,0,0,0,0,0
35,Béon,27,16,3,6,2,0,0,0,0,0
36,Béréziat,13,10,3,0,0,0,0,0,0,0
37,Bettant,18,14,3,1,0,0,0,0,0,0
38,Bey,7,5,1,1,0,0,0,0,0,0
39,Beynost,480,262,133,37,25,16,2,3,1,1
40,Billiat,28,21,4,2,1,0,0,0,0,0
41,Birieux,14,8,5,1,0,0,0,0,0,0
42,Biziat,36,25,9,1,1,0,0,0,0,0
43,Blyes,96,44,20,13,9,5,4,0,1,0
44,La Boisse,195,135,36,10,8,3,2,0,1,0
45,Boissey,5,3,1,0,0,1,0,0,0,0
46,Bolozon,6,5,1,0,0,0,0,0,0,0
47,Bouligneux,14,9,4,0,1,0,0,0,0,0
48,Bourg-en-Bresse,3103,1722,911,165,159,87,36,13,8,2
49,Bourg-Saint-Christophe,42,35,6,1,0,0,0,0,0,0
50,Boyeux-Saint-Jérôme,17,13,4,0,0,0,0,0,0,0
51,Boz,26,19,5,1,1,0,0,0,0,0
52,Brégnier-Cordon,44,33,7,0,1,3,0,0,0,0
53,Brénaz,6,5,1,0,0,0,0,0,0,0
54,Brénod,23,17,4,1,0,1,0,0,0,0
55,Brens,35,30,4,0,1,0,0,0,0,0
56,Bressolles,44,28,9,2,2,1,2,0,0,0
57,Brion,39,20,7,3,2,5,2,0,0,0
58,Briord,45,33,7,2,1,1,0,0,1,0
59,Buellas,68,44,20,2,1,1,0,0,0,0
60,La Burbanche,5,4,1,0,0,0,0,0,0,0
61,Ceignes,16,9,3,0,3,1,0,0,0,0
62,Cerdon,40,28,10,2,0,0,0,0,0,0
63,Certines,57,39,8,1,3,4,2,0,0,0
64,Cessy,181,115,47,11,4,4,0,0,0,0
65,Ceyzériat,188,114,47,9,9,4,5,0,0,0
66,Ceyzérieu,41,27,13,0,0,1,0,0,0,0
67,Chalamont,155,106,37,3,6,2,1,0,0,0
68,Chaleins,81,55,17,0,3,4,2,0,0,0
69,Chaley,6,6,0,0,0,0,0,0,0,0
70,Challes-la-Montagne,11,10,1,0,0,0,0,0,0,0
71,Challex,32,23,7,1,0,1,0,0,0,0
72,Champagne-en-Valromey,65,45,15,3,2,0,0,0,0,0
73,Champdor,17,12,3,0,1,1,0,0,0,0
74,Champfromier,35,26,8,0,0,0,0,0,1,0
75,Chanay,15,13,1,0,0,0,0,1,0,0
76,Chaneins,55,37,15,1,2,0,0,0,0,0
77,Chanoz-Châtenay,35,32,2,1,0,0,0,0,0,0
78,La Chapelle-du-Châtelard,21,17,2,2,0,0,0,0,0,0
79,Charix,10,9,0,1,0,0,0,0,0,0
80,Charnoz-sur-Ain,63,36,17,4,3,3,0,0,0,0
81,Château-Gaillard,119,61,33,14,8,2,1,0,0,0
82,Châtenay,19,15,3,0,1,0,0,0,0,0
83,Châtillon-en-Michaille,193,114,51,11,6,7,2,1,1,0
84,Châtillon-la-Palud,64,49,13,1,1,0,0,0,0,0
