,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
0,Ambérieu-en-Bugey,13.7,24.2,15.5,10.3,11.2
1,Ambronay,13.5,22.1,14.7,10.7,11.4
2,Arbent,13.5,27.6,15.6,11.1,11.1
3,Attignat,12.9,21.8,14.1,11.0,11.3
4,Bâgé-la-Ville,13.0,22.8,14.1,10.5,11.1
5,Balan,13.9,22.2,15.1,11.0,11.4
6,Bellignat,12.4,24.0,13.1,10.5,10.4
7,Béligneux,14.0,23.1,15.3,10.9,11.3
8,Bellegarde-sur-Valserine,11.5,21.2,13.5,9.9,10.5
9,Belley,12.4,23.4,14.1,10.3,10.5
10,Beynost,17.4,27.5,15.8,11.8,12.0
11,La Boisse,15.8,25.7,16.0,11.3,11.7
12,Bourg-en-Bresse,12.4,22.8,13.8,10.2,10.3
13,Cessy,13.5,25.3,13.3,10.8,11.9
14,Ceyzériat,14.0,25.0,14.4,10.6,10.8
15,Chalamont,13.7,26.8,14.4,10.4,11.1
16,Châtillon-en-Michaille,13.0,24.6,14.2,10.5,11.3
17,Châtillon-sur-Chalaronne,13.2,23.4,14.0,10.3,11.4
18,Collonges,12.8,21.9,14.9,9.9,13.1
19,Culoz,12.3,21.8,13.5,10.0,11.3
20,Dagneux,14.3,22.8,15.0,11.1,11.8
21,Divonne-les-Bains,16.7,37.6,14.0,10.8,14.5
22,Fareins,15.3,25.3,15.5,11.1,11.9
23,Feillens,12.4,23.1,14.1,10.5,10.5
24,Ferney-Voltaire,12.8,26.5,14.7,10.6,10.5
25,Gex,12.6,23.5,13.7,10.4,11.5
26,Hauteville-Lompnes,12.0,27.8,12.7,10.0,10.6
27,Izernore,12.9,24.5,14.1,10.5,10.8
28,Jassans-Riottier,13.9,24.5,15.1,10.7,11.0
29,Jujurieux,12.7,21.7,13.3,10.8,11.1
30,Lagnieu,13.8,24.4,15.5,10.6,11.4
31,Loyettes,13.4,23.1,14.9,11.0,11.3
32,Marboz,12.7,23.0,14.0,10.4,10.5
33,Massieux,16.6,24.7,17.4,11.8,12.1
34,Meximieux,15.5,25.5,16.4,11.1,11.2
35,Mézériat,12.5,22.7,13.6,10.6,10.7
36,Mionnay,16.2,25.7,15.3,12.2,11.3
37,Miribel,15.1,24.4,14.8,10.9,11.5
38,Montluel,14.2,24.3,14.6,11.1,11.3
